Timestamp,Water Temperature(°C),EC Values(uS/cm,TDS(mg/L),Turbidity(NTU),Water pH
2024-05-04 14:09,29.55,332.8125,213,21,6.9
2024-05-04 19:11,28.8,331.25,212,19,7.2
2024-05-05 0:13,29.63,328.125,210,17,7
2024-05-05 5:01,28.85,340.625,218,15,6.8
2024-05-05 10:08,29.78,339.0625,217,13,7.3
2024-05-05 15:10,28.94,335.9375,215,11,7
2024-05-05 20:12,29.71,337.5,216,19,7.1
2024-05-06 1:13,28.75,346.875,222,14,6.8
2024-05-06 6:15,29.67,351.5625,225,12,7.2
2024-05-06 11:17,28.81,359.375,230,14,7
2024-05-06 16:19,29.62,367.1875,235,16,7.1
2024-05-06 21:21,28.78,375,240,18,7.3
2024-05-07 2:23,29.8,382.8125,245,20,7.2
2024-05-07 7:25,28.86,390.625,250,22,7.1
2024-05-07 12:27,29.73,387.5,248,24,7.4
2024-05-07 17:29,28.94,384.375,246,25,7.5
2024-05-07 22:31,29.67,381.25,244,23,7.3
2024-05-08 3:33,28.88,378.125,242,21,7.2
2024-05-08 8:35,29.74,375,240,19,7.4
2024-05-08 13:37,28.79,371.875,238,17,7.3
2024-05-08 18:39,29.65,368.75,236,15,7.2
2024-05-08 23:41,28.85,365.625,234,13,7.1
2024-05-09 4:43,29.58,362.5,232,11,7
2024-05-09 9:45,28.82,359.375,230,16,6.9
2024-05-09 14:47,29.69,356.25,228,18,7.2
2024-05-09 19:49,28.74,353.125,226,17,7.1
2024-05-10 0:51,29.81,350,224,22,7
2024-05-10 5:53,28.9,346.875,222,20,6.8
2024-05-10 10:55,29.74,343.75,220,21,7.3
2024-05-10 15:57,28.87,351.5625,225,19,7.2
2024-05-10 20:59,29.6,359.375,230,19,7.1
2024-05-11 2:01,28.78,367.1875,235,19,7
2024-05-11 7:03,28.9,375,240,11,6.9
2024-05-11 12:05,30.52,382.8125,245,13,7.2
2024-05-11 17:07,31.07,390.625,250,15,7.1
2024-05-11 22:09,30.55,387.5,248,17,7
2024-05-12 3:11,31.13,384.375,246,19,7.3
2024-05-12 8:13,30.64,381.25,244,21,7.2
2024-05-12 13:15,29.54,378.125,242,23,7.1
2024-05-12 18:17,28.8,375,240,25,7
2024-05-12 23:19,29.69,371.875,238,23,7.4
2024-05-13 4:21,28.81,368.75,236,21,7.3
2024-05-13 9:23,29.74,365.625,234,19,7.2
2024-05-13 14:25,28.75,362.5,232,17,7.1
2024-05-13 19:27,29.67,359.375,230,15,7
2024-05-14 0:29,28.92,356.25,228,13,7.3
2024-05-14 5:31,29.73,353.125,226,11,7.2
2024-05-14 10:33,28.85,350,224,19,7.1
2024-05-14 15:35,29.75,346.875,222,18,7
2024-05-14 20:37,28.77,343.75,220,11,6.9
2024-05-15 1:39,30.62,351.5625,225,12,7.2
2024-05-15 6:41,31.27,359.375,230,17,7.1
2024-05-15 11:43,30.94,367.1875,235,12,7
2024-05-15 16:45,31.09,375,240,14,6.8
2024-05-15 21:47,29.66,382.8125,245,14,7.3
2024-05-16 2:49,28.91,390.625,250,15,7.2
2024-05-16 7:51,30.53,387.5,248,11,7.1
2024-05-16 12:53,28.83,384.375,246,13,7
2024-05-16 17:55,29.72,381.25,244,15,7.3
2024-05-16 22:57,28.75,378.125,242,17,7.2
2024-05-17 3:59,30.88,375,240,19,7.1
2024-05-17 9:01,31.32,371.875,238,21,7
2024-05-17 14:03,30.75,368.75,236,23,7.4
2024-05-17 19:05,28.83,365.625,234,25,7.3
2024-05-18 0:07,29.65,362.5,232,23,7.2
2024-05-18 5:09,28.94,359.375,230,21,7.1
2024-05-18 10:11,29.74,356.25,228,19,7.2
2024-05-18 15:13,28.71,353.125,226,17,7.3
2024-05-18 20:15,29.78,350,224,15,7.2
2024-05-19 1:17,28.82,346.875,222,13,7.1
2024-05-19 6:19,29.6,343.75,220,11,6.6
2024-05-19 11:21,28.88,351.5625,225,11,6.9
2024-05-19 16:23,29.67,359.375,230,15,7.2
2024-05-19 21:25,28.85,367.1875,235,14,7.1
2024-05-20 2:27,29.53,375,240,18,7.8
2024-05-20 7:29,28.77,382.8125,245,13,6.8
2024-05-20 12:31,29.72,390.625,250,19,7.3
2024-05-20 17:33,28.9,387.5,248,21,7.2
2024-05-20 22:35,29.8,384.375,246,22,7.1
2024-05-21 3:37,28.84,381.25,244,18,7
2024-05-21 8:39,29.68,378.125,242,14,7.3
2024-05-21 13:41,28.79,375,240,13,7.2
2024-05-21 18:43,29.77,371.875,238,15,7.1
2024-05-21 23:45,28.82,368.75,236,17,7
2024-05-22 4:47,29.63,365.625,234,19,7.3
2024-05-22 9:49,28.91,362.5,232,22,7.2
2024-05-22 14:51,29.6,359.375,230,23,7.1
2024-05-22 19:53,28.74,356.25,228,27,7
2024-05-23 0:55,29.76,353.125,226,24,6.9
2024-05-23 5:57,28.8,350,224,23,7.2
2024-05-23 10:59,29.78,346.875,222,19,7
2024-05-23 16:01,28.93,343.75,220,22,7
2024-05-23 21:03,29.68,340.625,218,21,7.3
2024-05-24 2:05,28.87,337.5,216,24,7.2
2024-05-24 7:07,29.75,334.375,214,16,6.9
2024-05-24 12:09,28.84,331.25,212,19,7
2024-05-24 17:11,29.74,328.125,210,15,6.9
2024-05-24 22:13,28.79,325,208,11,7.2
2024-05-25 3:15,29.68,321.875,206,18,7.3
2024-05-25 8:17,28.92,318.75,204,21,7.1
2024-05-25 13:19,30.85,315.625,202,14,7.3
2024-05-25 18:21,31.32,312.5,200,18,7.2
2024-05-25 23:23,29.64,320.3125,205,15,7.1
2024-05-26 4:25,28.75,328.125,210,20,6.9
2024-05-26 9:27,29.79,335.9375,215,12,6.9
2024-05-26 14:29,28.89,343.75,220,24,7.2
2024-05-26 19:31,29.67,351.5625,225,17,7.1
2024-05-27 0:33,28.86,359.375,230,16,7
2024-05-27 5:35,28.05,367.1875,235,11,7.3
2024-05-27 10:37,31.23,375,240,19,6.8
2024-05-27 15:39,30.77,382.8125,245,17,7.1
2024-05-27 20:41,29.97,390.625,250,22,7.3
2024-05-28 1:43,30.62,387.5,248,21,6.9
2024-05-28 6:45,28.77,384.375,246,25,7.2
2024-05-28 11:47,29.62,381.25,244,20,7.1
2024-05-28 16:49,28.81,378.125,242,18,6.8
2024-05-28 21:51,29.75,375,240,19,7.3
2024-05-29 2:53,28.84,371.875,238,21,7.2
2024-05-29 7:55,29.58,368.75,236,18,6.7
2024-05-29 12:57,28.87,365.625,234,24,6.9
2024-05-29 17:59,29.69,362.5,232,21,6.9
2024-05-29 23:01,28.75,359.375,230,17,7.2
2024-05-30 4:03,29.73,356.25,228,16,7.4
2024-05-30 9:05,28.89,353.125,226,10,7.2
2024-05-30 14:07,29.6,350,224,10,7.3
2024-05-30 19:09,28.81,346.875,222,23,6.5
2024-05-31 0:11,29.72,343.75,220,14,6.7
2024-05-31 5:13,28.77,351.5625,225,15,7
